City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Bengkulu,ID,-3.8004,102.2655,78.87,76,69,3.44,broken clouds
156,Sorong,ID,-0.8833,131.25,82.29,75,23,2.39,few clouds
157,Chipinge,ZW,-20.1883,32.6236,59.61,91,0,3.27,clear sky
158,Zherdevka,RU,51.8486,41.4606,0.1,93,27,8.55,scattered clouds
159,Zhangjiakou,CN,40.81,114.8794,45.07,57,38,4.32,scattered clouds
160,Saskylakh,RU,71.9167,114.0833,-25.6,83,99,10.45,overcast clouds
161,Pangnirtung,CA,66.1451,-65.7125,-1.01,88,100,3.36,overcast clouds
162,Jega,NG,12.2175,4.3792,82.85,14,100,6.64,overcast clouds
163,Avera,US,33.194,-82.5271,57.99,44,1,4.61,clear sky
164,Nome,US,64.5011,-165.4064,21.2,79,75,13.8,broken clouds
165,Mahebourg,MU,-20.4081,57.7,75.2,94,20,1.14,few clouds
166,Dezful,IR,32.3811,48.4058,58.33,42,0,3.27,clear sky
167,Luderitz,NA,-26.6481,15.1594,62.91,73,0,7.05,clear sky
168,Baturaja,ID,-4.1333,104.1667,76.08,90,82,3.22,broken clouds
169,Sioux Lookout,CA,50.1001,-91.917,51.8,50,90,9.22,overcast clouds
170,Codrington,AU,-38.2667,141.9667,65.7,59,20,9.84,few clouds
171,Iturama,BR,-19.7281,-50.1956,72.16,84,100,3.91,overcast clouds
172,Kuznechikha,RU,57.2161,42.3348,-8.64,90,89,7.74,overcast clouds
173,Baloda,IN,22.15,82.4833,67.42,29,0,2.68,clear sky
174,Dickinson,US,29.4608,-95.0513,66.99,82,100,13.38,overcast clouds
175,East London,ZA,-33.0153,27.9116,70.74,69,0,5.19,clear sky
176,Palmer,US,42.1584,-72.3287,39.2,60,1,9.22,clear sky
177,College,US,64.8569,-147.8028,30.0,59,90,2.3,overcast clouds
178,New Norfolk,AU,-42.7826,147.0587,66.99,35,0,5.01,clear sky
179,Lucea,JM,18.451,-78.1736,77.0,69,20,8.05,few clouds
180,Weihe,CN,32.9952,105.3247,44.51,81,100,1.48,moderate rain
181,Waterloo,CA,43.4668,-80.5164,39.0,75,40,2.3,scattered clouds
182,Meulaboh,ID,4.1363,96.1285,74.37,81,2,6.4,clear sky
183,Kavaratti,IN,10.5669,72.642,82.74,71,86,7.11,overcast clouds
184,Bubaque,GW,11.2833,-15.8333,78.57,67,0,9.28,clear sky
185,Bandarbeyla,SO,9.4942,50.8122,76.17,76,19,8.3,few clouds
186,Homer,US,59.6425,-151.5483,39.2,81,90,4.61,overcast clouds
187,Mehamn,NO,71.0357,27.8492,13.68,88,67,11.56,broken clouds
188,Emerald,AU,-23.5333,148.1667,91.0,48,0,5.75,clear sky
189,Taksimo,RU,56.3444,114.8794,13.84,86,16,2.1,few clouds
190,Binzhou,CN,37.3667,118.0167,53.01,66,0,4.03,clear sky
191,Ayan,RU,56.45,138.1667,17.22,88,0,2.75,clear sky
192,Severo-Kurilsk,RU,50.6789,156.125,31.35,94,100,13.31,overcast clouds
193,Suluq,LY,31.6682,20.2521,59.14,79,45,11.65,scattered clouds
194,Fortuna,US,40.5982,-124.1573,46.99,93,90,12.66,overcast clouds
195,Luganville,VU,-15.5333,167.1667,81.16,82,76,12.3,broken clouds
196,Caucaia,BR,-3.7361,-38.6531,82.99,78,20,9.22,few clouds
197,Flinders,AU,-34.5833,150.8552,75.0,72,79,4.0,broken clouds
198,Sur,OM,22.5667,59.5289,75.47,43,0,4.36,clear sky
199,Nyrob,RU,60.733,56.7202,-25.47,85,1,5.17,clear sky
200,Iqaluit,CA,63.7506,-68.5145,10.4,72,90,5.75,light snow
201,Cedar City,US,37.6775,-113.0619,44.6,21,75,20.71,broken clouds
202,Nanortalik,GL,60.1432,-45.2371,23.56,95,55,4.34,broken clouds
203,Dunmore,US,41.4198,-75.6324,50.0,43,1,5.75,clear sky
204,Saint-Leu,RE,-21.15,55.2833,75.2,64,0,9.22,clear sky
205,Volchansk,RU,59.9378,60.081,-6.07,92,100,5.28,overcast clouds
206,Svetlogorsk,BY,52.6333,29.7333,14.99,93,12,2.57,few clouds
207,Acapulco,MX,16.8634,-99.8901,82.4,78,75,10.36,broken clouds
208,Yurga,RU,55.7231,84.8861,5.36,93,90,9.48,overcast clouds
209,Rabo De Peixe,PT,37.8,-25.5833,59.0,94,75,5.75,broken clouds
210,Asau,RO,46.4333,26.4,33.01,53,100,2.26,overcast clouds
211,Vila Velha,BR,-20.3297,-40.2925,73.0,97,100,5.03,heavy intensity rain
212,San Cristobal,VE,7.7669,-72.225,78.8,69,75,4.61,broken clouds
