City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,San Andres,CO,80.6,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
513,Bilma,NE,75.11,clear sky,18.6853,12.9164,Expeditions Ténére voyages
515,Puerto Escondido,MX,80.6,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
518,Cockburn Town,TC,80.6,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
519,Paita,PE,76.05,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
529,Japura,ID,77.0,clear sky,-0.3167,102.35,Rumah mbah Jamah
531,Oron,NG,80.08,scattered clouds,4.8256,8.2343,Aqua Belloni Lodge
534,Tabou,CI,78.93,light rain,4.423,-7.3528,hotêl doufoulougou
540,Wad Madani,SD,78.71,clear sky,14.4012,33.5199,فندق يوغسلافيا
541,Angoche,MZ,76.77,moderate rain,-16.2325,39.9086,Guest House HESADA
542,Aitape,PG,84.65,scattered clouds,-3.1374,142.3475,
551,Port-Gentil,GA,81.01,moderate rain,-0.7193,8.7815,Fengshui Residence
553,Labuhan,ID,80.55,very heavy rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
554,Amalapuram,IN,75.2,mist,16.5833,82.0167,swayamprabha service apartments
558,Monrovia,LR,79.43,overcast clouds,6.3005,-10.7969,Sunset Inn
559,Dakoro,NE,78.67,overcast clouds,14.5106,6.765,Shagon mai liverpool
562,Carutapera,BR,75.51,overcast clouds,-1.195,-46.02,Lidera
565,Corumba,BR,75.13,clear sky,-19.0092,-57.6533,Hotel Laura Vicunha
566,Muisne,EC,78.53,overcast clouds,0.6,-80.0333,Quinta Samay
569,Galle,LK,76.55,overcast clouds,6.0367,80.217,Amangalla
570,Dangriga,BZ,77.0,broken clouds,16.9692,-88.2321,Chaleanor Hotel
573,Manuk Mangkaw,PH,82.29,overcast clouds,4.8,119.85,
574,Katsina,NG,76.95,clear sky,12.9894,7.6006,Katsina Motel
575,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
576,Comodoro Rivadavia,AR,84.2,broken clouds,-45.8667,-67.5,Hotel del Mar
578,Upata,VE,77.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
580,Mandiana,GN,80.4,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
581,Kita,ML,77.58,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
585,Makakilo City,US,78.8,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
586,Thinadhoo,MV,83.61,clear sky,0.5333,72.9333,
587,Dourbali,TD,77.05,clear sky,11.8091,15.8632,
588,Piacabucu,BR,78.4,clear sky,-10.4056,-36.4344,Piaçabuçu News
589,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
591,Tecoanapa,MX,78.87,clear sky,16.5167,-98.75,Hotel Manglares
